Complexity metrics,Sun, 23 Jun 2019 13:42:38 EDT
Method,ev(G),iv(G),LOC,V,v(G)
"org.jfree.chart.labels.StandardCategoryToolTipGenerator.equals(Object)",3,1,17,66,3
"org.jfree.chart.labels.StandardCategoryToolTipGenerator.generateToolTip(CategoryDataset,int,int)",1,1,16,22,1
"org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest.testCloning()",1,1,13,71,1
"org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest.testEquals()",1,1,30,244,1
"org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest.testEquals1481087()",1,1,13,44,1
"org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest.testHashCode()",1,1,12,44,1
"org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest.testPublicCloneable()",1,1,9,15,1
"org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest.testSerialization()",1,1,12,31,1
"org.jfree.chart.labels.StandardCrosshairLabelGenerator.StandardCrosshairLabelGenerator()",1,1,6,11,1
"org.jfree.chart.labels.StandardCrosshairLabelGenerator.StandardCrosshairLabelGenerator(String,NumberFormat)",3,1,22,89,3
"org.jfree.chart.labels.StandardCrosshairLabelGenerator.equals(Object)",5,1,25,145,5
"org.jfree.chart.labels.StandardCrosshairLabelGenerator.generateLabel(Crosshair)",1,1,14,46,1
"org.jfree.chart.labels.StandardCrosshairLabelGenerator.getLabelTemplate()",1,1,8,8,1
"org.jfree.chart.labels.StandardCrosshairLabelGenerator.getNumberFormat()",1,1,8,8,1
"org.jfree.chart.labels.StandardCrosshairLabelGenerator.hashCode()",1,1,9,15,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.StandardPieSectionLabelGenerator()",1,1,9,15,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.StandardPieSectionLabelGenerator(Locale)",1,1,10,11,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.StandardPieSectionLabelGenerator(String)",1,1,10,15,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.StandardPieSectionLabelGenerator(String,Locale)",1,1,12,22,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.StandardPieSectionLabelGenerator(String,NumberFormat,NumberFormat)",1,1,15,28,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.clone()",1,1,15,48,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.equals(Object)",4,1,22,114,4
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.generateAttributedSectionLabel(PieDataset,Comparable)",1,1,32,15,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.generateSectionLabel(PieDataset,Comparable)",1,1,12,15,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.getAttributedLabel(int)",1,1,11,19,1
"org.jfree.chart.labels.StandardPieSectionLabelGenerator.setAttributedLabel(int,AttributedString)",1,1,9,24,1
"org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest.testCloning()",1,1,13,71,1
"org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest.testEquals()",1,1,45,467,1
"org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest.testHashCode()",1,1,12,44,1
"org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest.testPublicCloneable()",1,1,9,15,1
"org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest.testSerialization()",1,1,11,22,1
"org.jfree.chart.labels.StandardPieToolTipGenerator.StandardPieToolTipGenerator()",1,1,6,8,1
"org.jfree.chart.labels.StandardPieToolTipGenerator.StandardPieToolTipGenerator(Locale)",1,1,11,11,1
"org.jfree.chart.labels.StandardPieToolTipGenerator.StandardPieToolTipGenerator(String)",1,1,8,11,1
"org.jfree.chart.labels.StandardPieToolTipGenerator.StandardPieToolTipGenerator(String,Locale)",1,1,12,22,1
"org.jfree.chart.labels.StandardPieToolTipGenerator.StandardPieToolTipGenerator(String,NumberFormat,NumberFormat)",1,1,14,15,1
"org.jfree.chart.labels.StandardPieToolTipGenerator.clone()",1,1,11,11,1
"org.jfree.chart.labels.StandardPieToolTipGenerator.generateToolTip(PieDataset,Comparable)",1,1,12,11,1
"org.jfree.chart.labels.StandardPieToolTipGeneratorTest.testCloning()",1,1,14,121,1
"org.jfree.chart.labels.StandardPieToolTipGeneratorTest.testEquals()",1,1,38,357,1
"org.jfree.chart.labels.StandardPieToolTipGeneratorTest.testHashCode()",1,1,12,44,1
"org.jfree.chart.labels.StandardPieToolTipGeneratorTest.testPublicCloneable()",1,1,8,15,1
"org.jfree.chart.labels.StandardPieToolTipGeneratorTest.testSerialization()",1,1,10,22,1
"org.jfree.chart.labels.StandardXYItemLabelGenerator.StandardXYItemLabelGenerator()",1,1,7,13,1
"org.jfree.chart.labels.StandardXYItemLabelGenerator.StandardXYItemLabelGenerator(String)",1,1,12,13,1
"org.jfree.chart.labels.StandardXYItemLabelGenerator.StandardXYItemLabelGenerator(String,DateFormat,DateFormat)",1,1,14,15,1
"org.jfree.chart.labels.StandardXYItemLabelGenerator.StandardXYItemLabelGenerator(String,DateFormat,NumberFormat)",1,1,14,15,1
"org.jfree.chart.labels.StandardXYItemLabelGenerator.StandardXYItemLabelGenerator(String,NumberFormat,DateFormat)",1,1,18,15,1
"org.jfree.chart.labels.StandardXYItemLabelGenerator.StandardXYItemLabelGenerator(String,NumberFormat,NumberFormat)",1,1,14,15,1
"org.jfree.chart.labels.StandardXYItemLabelGenerator.clone()",1,1,11,11,1
"org.jfree.chart.labels.StandardXYItemLabelGenerator.equals(Object)",3,1,17,66,3
"org.jfree.chart.labels.StandardXYItemLabelGenerator.generateLabel(XYDataset,int,int)",1,1,13,22,1
"org.jfree.chart.labels.StandardXYItemLabelGeneratorTest.testCloning()",1,1,37,497,1
"org.jfree.chart.labels.StandardXYItemLabelGeneratorTest.testEquals()",1,1,47,687,1
"org.jfree.chart.labels.StandardXYItemLabelGeneratorTest.testHashCode()",1,1,12,44,1
"org.jfree.chart.labels.StandardXYItemLabelGeneratorTest.testPublicCloneable()",1,1,8,15,1
"org.jfree.chart.labels.StandardXYItemLabelGeneratorTest.testSerialization()",1,1,10,22,1
"org.jfree.chart.labels.StandardXYSeriesLabelGenerator.StandardXYSeriesLabelGenerator()",1,1,7,8,1
"org.jfree.chart.labels.StandardXYSeriesLabelGenerator.StandardXYSeriesLabelGenerator(String)",1,1,9,18,1
"org.jfree.chart.labels.StandardXYSeriesLabelGenerator.clone()",1,1,13,11,1
"org.jfree.chart.labels.StandardXYSeriesLabelGenerator.createItemArray(XYDataset,int)",1,1,14,41,1
"org.jfree.chart.labels.StandardXYSeriesLabelGenerator.equals(Object)",4,1,22,101,4
"org.jfree.chart.labels.StandardXYSeriesLabelGenerator.generateLabel(XYDataset,int)",1,1,17,46,1
"org.jfree.chart.labels.StandardXYSeriesLabelGenerator.hashCode()",1,1,11,33,1
"org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest.testCloning()",1,1,13,77,1
"org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest.testEquals()",1,1,16,93,1
"org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest.testGenerateLabel()",1,1,13,97,1
"org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest.testHashCode()",1,1,12,44,1
"org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest.testPublicCloneable()",1,1,9,19,1
"org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest.testSerialization()",1,1,11,26,1
"org.jfree.chart.labels.StandardXYToolTipGenerator.StandardXYToolTipGenerator()",1,1,7,13,1
"org.jfree.chart.labels.StandardXYToolTipGenerator.StandardXYToolTipGenerator(String,DateFormat,DateFormat)",1,1,14,15,1
"org.jfree.chart.labels.StandardXYToolTipGenerator.StandardXYToolTipGenerator(String,DateFormat,NumberFormat)",1,1,14,15,1
"org.jfree.chart.labels.StandardXYToolTipGenerator.StandardXYToolTipGenerator(String,NumberFormat,DateFormat)",1,1,18,15,1
"org.jfree.chart.labels.StandardXYToolTipGenerator.StandardXYToolTipGenerator(String,NumberFormat,NumberFormat)",1,1,14,15,1
"org.jfree.chart.labels.StandardXYToolTipGenerator.clone()",1,1,11,11,1
"org.jfree.chart.labels.StandardXYToolTipGenerator.equals(Object)",3,1,17,66,3
"org.jfree.chart.labels.StandardXYToolTipGenerator.generateToolTip(XYDataset,int,int)",1,1,13,22,1
"org.jfree.chart.labels.StandardXYToolTipGenerator.getTimeSeriesInstance()",1,1,10,19,1
"org.jfree.chart.labels.StandardXYToolTipGeneratorTest.testCloning()",1,1,11,71,1
"org.jfree.chart.labels.StandardXYToolTipGeneratorTest.testEquals()",1,1,47,687,1
"org.jfree.chart.labels.StandardXYToolTipGeneratorTest.testHashCode()",1,1,12,44,1
"org.jfree.chart.labels.StandardXYToolTipGeneratorTest.testPublicCloneable()",1,1,8,15,1
"org.jfree.chart.labels.StandardXYToolTipGeneratorTest.testSerialization()",1,1,10,22,1
"org.jfree.chart.labels.StandardXYZToolTipGenerator.StandardXYZToolTipGenerator()",1,1,12,16,1
"org.jfree.chart.labels.StandardXYZToolTipGenerator.StandardXYZToolTipGenerator(String,DateFormat,DateFormat,DateFormat)",1,1,17,41,1
"org.jfree.chart.labels.StandardXYZToolTipGenerator.StandardXYZToolTipGenerator(String,NumberFormat,NumberFormat,NumberFormat)",1,1,18,41,1
"org.jfree.chart.labels.StandardXYZToolTipGenerator.createItemArray(XYZDataset,int,int)",1,4,39,384,4
"org.jfree.chart.labels.StandardXYZToolTipGenerator.equals(Object)",6,1,27,178,6
"org.jfree.chart.labels.StandardXYZToolTipGenerator.generateLabelString(XYDataset,int,int)",1,1,16,44,1
"org.jfree.chart.labels.StandardXYZToolTipGenerator.generateToolTip(XYZDataset,int,int)",1,1,13,22,1
"org.jfree.chart.labels.StandardXYZToolTipGenerator.getZDateFormat()",1,1,8,8,1
"org.jfree.chart.labels.StandardXYZToolTipGenerator.getZFormat()",1,1,8,8,1
"org.jfree.chart.labels.StandardXYZToolTipGeneratorTest.testCloning()",1,1,12,71,1
"org.jfree.chart.labels.StandardXYZToolTipGeneratorTest.testEquals()",1,1,64,981,1
"org.jfree.chart.labels.StandardXYZToolTipGeneratorTest.testHashCode()",1,1,12,44,1
"org.jfree.chart.labels.StandardXYZToolTipGeneratorTest.testPublicCloneable()",1,1,8,15,1
"org.jfree.chart.labels.StandardXYZToolTipGeneratorTest.testSerialization()",1,1,10,22,1
"org.jfree.chart.labels.SymbolicXYItemLabelGenerator.clone()",1,1,11,11,1
"org.jfree.chart.labels.SymbolicXYItemLabelGenerator.equals(Object)",3,1,17,49,3
"org.jfree.chart.labels.SymbolicXYItemLabelGenerator.generateLabel(XYDataset,int,int)",1,1,14,10,1
"org.jfree.chart.labels.SymbolicXYItemLabelGenerator.generateToolTip(XYDataset,int,int)",1,4,34,275,4
"org.jfree.chart.labels.SymbolicXYItemLabelGenerator.hashCode()",1,1,10,13,1
"org.jfree.chart.labels.SymbolicXYItemLabelGenerator.round(double,int)",2,2,16,123,2
"org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest.testCloning()",1,1,12,71,1
"org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest.testEquals()",1,1,10,33,1
"org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest.testHashCode()",1,1,12,44,1
"org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest.testPublicCloneable()",1,1,8,15,1
"org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest.testSerialization()",1,1,10,22,1
"org.jfree.chart.needle.ArrowNeedle.ArrowNeedle(boolean)",1,1,9,11,1
"org.jfree.chart.needle.ArrowNeedle.clone()",1,1,12,11,1
"org.jfree.chart.needle.ArrowNeedle.drawNeedle(Graphics2D,Rectangle2D,Point2D,double)",1,4,42,584,6
"org.jfree.chart.needle.ArrowNeedle.equals(Object)",5,1,24,130,5
"org.jfree.chart.needle.ArrowNeedle.hashCode()",1,1,11,38,1
"org.jfree.chart.needle.ArrowNeedleTest.testCloning()",1,1,11,77,1
"org.jfree.chart.needle.ArrowNeedleTest.testEquals()",1,1,14,93,1
"org.jfree.chart.needle.ArrowNeedleTest.testSerialization()",1,1,9,31,1
"org.jfree.chart.needle.LineNeedle.clone()",1,1,12,11,1
"org.jfree.chart.needle.LineNeedle.drawNeedle(Graphics2D,Rectangle2D,Point2D,double)",1,2,22,210,3
"org.jfree.chart.needle.LineNeedle.equals(Object)",3,1,17,66,3
"org.jfree.chart.needle.LineNeedle.hashCode()",1,1,9,11,1
"org.jfree.chart.needle.LineNeedleTest.testCloning()",1,1,11,71,1
"org.jfree.chart.needle.LineNeedleTest.testEquals()",1,1,10,33,1
"org.jfree.chart.needle.LineNeedleTest.testSerialization()",1,1,9,26,1
"org.jfree.chart.needle.LongNeedle.LongNeedle()",1,1,7,11,1
"org.jfree.chart.needle.LongNeedle.clone()",1,1,12,11,1
"org.jfree.chart.needle.LongNeedle.drawNeedle(Graphics2D,Rectangle2D,Point2D,double)",1,5,66,991,7
"org.jfree.chart.needle.LongNeedle.equals(Object)",3,1,17,66,3
"org.jfree.chart.needle.LongNeedle.hashCode()",1,1,9,11,1
"org.jfree.chart.needle.LongNeedleTest.testCloning()",1,1,11,71,1
"org.jfree.chart.needle.LongNeedleTest.testEquals()",1,1,10,33,1
"org.jfree.chart.needle.LongNeedleTest.testSerialization()",1,1,9,26,1
"org.jfree.chart.needle.MeterNeedle.MeterNeedle()",1,1,6,12,1
"org.jfree.chart.needle.MeterNeedle.MeterNeedle(Paint,Paint,Paint)",1,1,12,30,1
"org.jfree.chart.needle.MeterNeedle.defaultDisplay(Graphics2D,Shape)",1,3,17,117,3
"org.jfree.chart.needle.MeterNeedle.draw(Graphics2D,Rectangle2D)",1,1,9,15,1
"org.jfree.chart.needle.MeterNeedle.draw(Graphics2D,Rectangle2D,Point2D,double)",1,1,16,74,1
"org.jfree.chart.needle.MeterNeedle.draw(Graphics2D,Rectangle2D,double)",1,1,13,114,1
"org.jfree.chart.needle.MeterNeedle.equals(Object)",10,1,39,374,10
"org.jfree.chart.needle.MeterNeedle.getFillPaint()",1,1,8,8,1
"org.jfree.chart.needle.MeterNeedle.getHighlightPaint()",1,1,8,8,1
"org.jfree.chart.needle.MeterNeedle.getOutlinePaint()",1,1,8,8,1
"org.jfree.chart.needle.MeterNeedle.getOutlineStroke()",1,1,8,8,1
"org.jfree.chart.needle.MeterNeedle.getRotateX()",1,1,8,11,1
"org.jfree.chart.needle.MeterNeedle.getRotateY()",1,1,8,11,1
"org.jfree.chart.needle.MeterNeedle.getSize()",1,1,8,11,1
"org.jfree.chart.needle.MeterNeedle.getTransform()",1,1,8,4,1
"org.jfree.chart.needle.MeterNeedle.hashCode()",1,1,16,159,1
"org.jfree.chart.needle.MeterNeedle.readObject(ObjectInputStream)",1,1,16,75,1
"org.jfree.chart.needle.MeterNeedle.setFillPaint(Paint)",1,1,10,26,2
"org.jfree.chart.needle.MeterNeedle.setHighlightPaint(Paint)",1,1,10,26,2
"org.jfree.chart.needle.MeterNeedle.setOutlinePaint(Paint)",1,1,10,26,2
"org.jfree.chart.needle.MeterNeedle.setOutlineStroke(Stroke)",1,1,10,26,2
"org.jfree.chart.needle.MeterNeedle.setRotateX(double)",1,1,8,15,1
"org.jfree.chart.needle.MeterNeedle.setRotateY(double)",1,1,8,15,1
"org.jfree.chart.needle.MeterNeedle.setSize(int)",1,1,8,15,1
"org.jfree.chart.needle.MeterNeedle.writeObject(ObjectOutputStream)",1,1,14,75,1
"org.jfree.chart.needle.MeterNeedleTest.testEquals()",1,1,38,720,1
"org.jfree.chart.needle.MiddlePinNeedle.clone()",1,1,12,11,1
"org.jfree.chart.needle.MiddlePinNeedle.drawNeedle(Graphics2D,Rectangle2D,Point2D,double)",1,2,39,578,4
"org.jfree.chart.needle.MiddlePinNeedle.equals(Object)",4,2,20,95,5
"org.jfree.chart.needle.MiddlePinNeedle.hashCode()",1,1,9,11,1
"org.jfree.chart.needle.MiddlePinNeedleTest.testCloning()",1,1,11,71,1
"org.jfree.chart.needle.MiddlePinNeedleTest.testEquals()",1,1,10,33,1
"org.jfree.chart.needle.MiddlePinNeedleTest.testSerialization()",1,1,9,26,1
"org.jfree.chart.needle.PinNeedle.clone()",1,1,12,11,1
"org.jfree.chart.needle.PinNeedle.drawNeedle(Graphics2D,Rectangle2D,Point2D,double)",1,2,38,548,4
"org.jfree.chart.needle.PinNeedle.equals(Object)",4,1,20,85,4
"org.jfree.chart.needle.PinNeedle.hashCode()",1,1,9,11,1
"org.jfree.chart.needle.PinNeedleTest.testCloning()",1,1,11,71,1
"org.jfree.chart.needle.PinNeedleTest.testEquals()",1,1,10,33,1
"org.jfree.chart.needle.PinNeedleTest.testSerialization()",1,1,9,26,1
"org.jfree.chart.needle.PlumNeedle.clone()",1,1,12,11,1
"org.jfree.chart.needle.PlumNeedle.drawNeedle(Graphics2D,Rectangle2D,Point2D,double)",1,2,29,372,3
"org.jfree.chart.needle.PlumNeedle.equals(Object)",4,1,20,85,4
"org.jfree.chart.needle.PlumNeedle.hashCode()",1,1,9,11,1
"org.jfree.chart.needle.PlumNeedleTest.testCloning()",1,1,11,71,1
"org.jfree.chart.needle.PlumNeedleTest.testEquals()",1,1,10,33,1
"org.jfree.chart.needle.PlumNeedleTest.testSerialization()",1,1,9,26,1
"org.jfree.chart.needle.PointerNeedle.clone()",1,1,12,11,1
"org.jfree.chart.needle.PointerNeedle.drawNeedle(Graphics2D,Rectangle2D,Point2D,double)",1,5,48,677,6
"org.jfree.chart.needle.PointerNeedle.equals(Object)",4,1,20,85,4
"org.jfree.chart.needle.PointerNeedle.hashCode()",1,1,9,11,1
"org.jfree.chart.needle.PointerNeedleTest.testCloning()",1,1,11,71,1
"org.jfree.chart.needle.PointerNeedleTest.testEquals()",1,1,10,33,1
"org.jfree.chart.needle.PointerNeedleTest.testSerialization()",1,1,9,26,1
"org.jfree.chart.needle.ShipNeedle.clone()",1,1,12,11,1
"org.jfree.chart.needle.ShipNeedle.drawNeedle(Graphics2D,Rectangle2D,Point2D,double)",1,2,27,367,3
"org.jfree.chart.needle.ShipNeedle.equals(Object)",4,2,20,95,5
"org.jfree.chart.needle.ShipNeedle.hashCode()",1,1,9,11,1
"org.jfree.chart.needle.ShipNeedleTest.testCloning()",1,1,11,71,1
"org.jfree.chart.needle.ShipNeedleTest.testEquals()",1,1,10,33,1
"org.jfree.chart.needle.ShipNeedleTest.testSerialization()",1,1,9,26,1
"org.jfree.chart.needle.WindNeedle.WindNeedle()",1,1,6,8,1
"org.jfree.chart.needle.WindNeedle.drawNeedle(Graphics2D,Rectangle2D,Point2D,double)",1,2,25,283,3
"org.jfree.chart.needle.WindNeedle.equals(Object)",4,2,20,95,5
"org.jfree.chart.needle.WindNeedle.hashCode()",1,1,9,11,1
"org.jfree.chart.needle.WindNeedleTest.testCloning()",1,1,11,71,1
"org.jfree.chart.needle.WindNeedleTest.testEquals()",1,1,10,33,1
"org.jfree.chart.needle.WindNeedleTest.testSerialization()",1,1,9,26,1
"org.jfree.chart.panel.AbstractOverlay.AbstractOverlay()",1,1,6,8,1
"org.jfree.chart.panel.AbstractOverlay.addChangeListener(OverlayChangeListener)",1,1,11,31,1
"org.jfree.chart.panel.AbstractOverlay.fireOverlayChanged()",1,1,9,15,1
"org.jfree.chart.panel.AbstractOverlay.notifyListeners(OverlayChangeEvent)",1,3,15,118,3
"org.jfree.chart.panel.AbstractOverlay.removeChangeListener(OverlayChangeListener)",1,1,11,31,1
"org.jfree.chart.panel.CrosshairOverlay.CrosshairOverlay()",1,1,8,25,1
"org.jfree.chart.panel.CrosshairOverlay.addDomainCrosshair(Crosshair)",1,1,15,43,1
"org.jfree.chart.panel.CrosshairOverlay.addRangeCrosshair(Crosshair)",1,1,12,43,1
"org.jfree.chart.panel.CrosshairOverlay.calculateLabelPoint(Line2D,RectangleAnchor,double,double)",1,6,61,744,18
"org.jfree.chart.panel.CrosshairOverlay.clearDomainCrosshairs()",2,2,14,62,3
"org.jfree.chart.panel.CrosshairOverlay.clearRangeCrosshairs()",2,2,14,62,3
"org.jfree.chart.panel.CrosshairOverlay.clone()",1,1,15,57,1
"org.jfree.chart.panel.CrosshairOverlay.drawHorizontalCrosshair(Graphics2D,Rectangle2D,double,Crosshair)",1,6,54,877,6
"org.jfree.chart.panel.CrosshairOverlay.drawVerticalCrosshair(Graphics2D,Rectangle2D,double,Crosshair)",1,6,54,877,6
"org.jfree.chart.panel.CrosshairOverlay.equals(Object)",5,1,24,143,5
"org.jfree.chart.panel.CrosshairOverlay.flipAnchorH(RectangleAnchor)",1,6,22,166,7
"org.jfree.chart.panel.CrosshairOverlay.flipAnchorV(RectangleAnchor)",1,6,22,166,7
"org.jfree.chart.panel.CrosshairOverlay.getDomainCrosshairs()",1,1,8,11,1
"org.jfree.chart.panel.CrosshairOverlay.getRangeCrosshairs()",1,1,8,11,1
"org.jfree.chart.panel.CrosshairOverlay.paintOverlay(Graphics2D,ChartPanel)",1,7,46,450,7
"org.jfree.chart.panel.CrosshairOverlay.propertyChange(PropertyChangeEvent)",1,1,10,4,1
"org.jfree.chart.panel.CrosshairOverlay.removeDomainCrosshair(Crosshair)",1,2,15,48,2
"org.jfree.chart.panel.CrosshairOverlay.removeRangeCrosshair(Crosshair)",1,2,15,48,2
"org.jfree.chart.panel.CrosshairOverlay.textAlignPtForLabelAnchorH(RectangleAnchor)",1,8,36,270,9
"org.jfree.chart.panel.CrosshairOverlay.textAlignPtForLabelAnchorV(RectangleAnchor)",1,8,36,270,9
"org.jfree.chart.panel.CrosshairOverlayTest.testCloning()",1,1,17,230,1
"org.jfree.chart.panel.CrosshairOverlayTest.testEquals()",1,1,9,18,1
"org.jfree.chart.panel.CrosshairOverlayTest.testSerialization()",1,1,12,104,1
"org.jfree.chart.plot.AbstractPieLabelDistributor.AbstractPieLabelDistributor()",1,1,6,8,1
"org.jfree.chart.plot.AbstractPieLabelDistributor.addPieLabelRecord(PieLabelRecord)",1,1,9,26,1
"org.jfree.chart.plot.AbstractPieLabelDistributor.clear()",1,1,6,11,1
"org.jfree.chart.plot.AbstractPieLabelDistributor.getItemCount()",1,1,8,15,1
"org.jfree.chart.plot.AbstractPieLabelDistributor.getPieLabelRecord(int)",1,1,10,19,1
"org.jfree.chart.plot.CategoryCrosshairState.CategoryCrosshairState()",1,1,7,16,1
"org.jfree.chart.plot.CategoryCrosshairState.getColumnKey()",1,1,8,8,1
"org.jfree.chart.plot.CategoryCrosshairState.getRowKey()",1,1,8,8,1
"org.jfree.chart.plot.CategoryCrosshairState.setColumnKey(Comparable)",1,1,8,11,1
"org.jfree.chart.plot.CategoryCrosshairState.setRowKey(Comparable)",1,1,8,11,1
"org.jfree.chart.plot.CategoryCrosshairState.updateCrosshairPoint(Comparable,Comparable,double,int,double,double,PlotOrientation)",1,3,35,302,4
"org.jfree.chart.plot.CategoryCrosshairState.updateCrosshairX(Comparable,Comparable,int,double,PlotOrientation)",1,4,27,184,4
"org.jfree.chart.plot.CategoryMarker.CategoryMarker(Comparable)",1,1,8,19,1
"org.jfree.chart.plot.CategoryMarker.CategoryMarker(Comparable,Paint,Stroke)",1,1,10,25,1
"org.jfree.chart.plot.CategoryMarker.CategoryMarker(Comparable,Paint,Stroke,Paint,Stroke,float)",1,1,17,53,1
"org.jfree.chart.plot.CategoryMarker.equals(Object)",6,1,27,180,6
"org.jfree.chart.plot.CategoryMarker.getDrawAsLine()",1,1,9,11,1
"org.jfree.chart.plot.CategoryMarker.getKey()",1,1,8,8,1
"org.jfree.chart.plot.CategoryMarker.setDrawAsLine(boolean)",1,1,11,26,1
"org.jfree.chart.plot.CategoryMarker.setKey(Comparable)",1,1,13,34,1
"org.jfree.chart.plot.CategoryMarkerTest.markerChanged(MarkerChangeEvent)",1,1,9,11,1
"org.jfree.chart.plot.CategoryMarkerTest.testCloning()",1,1,13,129,1
"org.jfree.chart.plot.CategoryMarkerTest.testEquals()",1,1,56,931,1
"org.jfree.chart.plot.CategoryMarkerTest.testGetSetDrawAsLine()",1,1,13,101,1
"org.jfree.chart.plot.CategoryMarkerTest.testGetSetKey()",1,2,21,151,2
"org.jfree.chart.plot.CategoryMarkerTest.testSerialization()",1,1,11,70,1
"org.jfree.chart.plot.CategoryPlot.CategoryPlot()",1,1,6,14,1
"org.jfree.chart.plot.CategoryPlot.CategoryPlot(CategoryDataset,CategoryAxis,ValueAxis,CategoryItemRenderer)",1,5,78,"1,235",5
"org.jfree.chart.plot.CategoryPlot.addAnnotation(CategoryAnnotation)",1,1,11,11,1
"org.jfree.chart.plot.CategoryPlot.addAnnotation(CategoryAnnotation,boolean)",1,2,17,59,2
"org.jfree.chart.plot.CategoryPlot.addDomainMarker(CategoryMarker)",1,1,13,11,1
"org.jfree.chart.plot.CategoryPlot.addDomainMarker(CategoryMarker,Layer)",1,1,15,15,1
"org.jfree.chart.plot.CategoryPlot.addDomainMarker(int,CategoryMarker,Layer)",1,1,16,26,1
"org.jfree.chart.plot.CategoryPlot.addDomainMarker(int,CategoryMarker,Layer,boolean)",1,6,43,328,6
"org.jfree.chart.plot.CategoryPlot.addRangeMarker(Marker)",1,1,13,11,1
"org.jfree.chart.plot.CategoryPlot.addRangeMarker(Marker,Layer)",1,1,15,15,1
"org.jfree.chart.plot.CategoryPlot.addRangeMarker(int,Marker,Layer)",1,1,16,26,1
"org.jfree.chart.plot.CategoryPlot.addRangeMarker(int,Marker,Layer,boolean)",1,6,41,288,6
"org.jfree.chart.plot.CategoryPlot.annotationChanged(AnnotationChangeEvent)",1,2,17,51,2
"org.jfree.chart.plot.CategoryPlot.calculateAxisSpace(Graphics2D,Rectangle2D)",1,1,15,42,1
"org.jfree.chart.plot.CategoryPlot.calculateDomainAxisSpace(Graphics2D,Rectangle2D,AxisSpace)",1,7,47,447,8
"org.jfree.chart.plot.CategoryPlot.calculateRangeAxisSpace(Graphics2D,Rectangle2D,AxisSpace)",1,6,39,359,7
"org.jfree.chart.plot.CategoryPlot.checkAxisIndices(List)",6,2,31,218,6
"org.jfree.chart.plot.CategoryPlot.clearAnnotations()",1,2,13,92,2
"org.jfree.chart.plot.CategoryPlot.clearDomainAxes()",1,3,13,62,3
"org.jfree.chart.plot.CategoryPlot.clearDomainMarkers()",1,5,27,194,5
"org.jfree.chart.plot.CategoryPlot.clearDomainMarkers(int)",1,7,35,257,7
"org.jfree.chart.plot.CategoryPlot.clearRangeAxes()",1,3,13,62,3
"org.jfree.chart.plot.CategoryPlot.clearRangeMarkers()",1,5,27,194,5
"org.jfree.chart.plot.CategoryPlot.clearRangeMarkers(int)",1,7,35,257,7
"org.jfree.chart.plot.CategoryPlot.clone()",1,12,69,941,12
"org.jfree.chart.plot.CategoryPlot.cloneMarkerMap(Map)",1,2,22,97,2
"org.jfree.chart.plot.CategoryPlot.configureDomainAxes()",1,3,10,41,3
"org.jfree.chart.plot.CategoryPlot.configureRangeAxes()",1,3,10,41,3
"org.jfree.chart.plot.CategoryPlot.datasetChanged(DatasetChangeEvent)",1,4,22,116,4
"org.jfree.chart.plot.CategoryPlot.datasetsMappedToDomainAxis(int)",3,5,32,192,6
"org.jfree.chart.plot.CategoryPlot.datasetsMappedToRangeAxis(int)",1,5,27,167,5
"org.jfree.chart.plot.CategoryPlot.draw(Graphics2D,Rectangle2D,Point2D,PlotState,PlotRenderingInfo)",3,26,203,"3,269",33
"org.jfree.chart.plot.CategoryPlot.drawAnnotations(Graphics2D,Rectangle2D)",1,3,17,83,3
"org.jfree.chart.plot.CategoryPlot.drawAxes(Graphics2D,Rectangle2D,Rectangle2D,PlotRenderingInfo)",1,13,83,"1,082",13
